mine_fac,mine_other_names,country,state,region,province,district,sector,location_municipality,latitude,longitude,surface_area,unit_surface_area,claim_concession_area,unit_concession_area,mine_or_processing,commodities_products,mining_facility_types,production_start,production_end,activity_status,year_activity_status,certification_scheme,source,source_url,comment,,,,,,,
Vorkutaugol,OAO Vorkutaugol,Russia,,,,,,Vorkuta,67.5916433,63.63001416,,,,,Mine,"Hard coking coal, Semi-soft coking coal, Thermal coal, Coking coal concentrate","Open pit, Underground",1933,,,,,PAO Severstal (2020) Annual Report 2019 ; Severstal Website (Vorkutaugol),https://www.severstal.com/files/37176/Severstal_annual_report_ENG_2019.pdf ; https://www.severstal.com/eng/about/businesses/vorkutaugol ,,,,,,,,
Yakovlevskiy ,"Yakovlevsky GOK, Yakovlev ",Russia,,,,Yakovlevsky ,,,50.86127173,36.41930637,,,,,Mine,Iron,,1997,,,,,PAO Severstal (2020) Annual Report 2019 ; Severstal Website (Yakovlevsky GOK),https://www.severstal.com/files/37176/Severstal_annual_report_ENG_2019.pdf ; https://www.severstal.com/eng/about/businesses/yagok/ ,,,,,,,,
Cherepovets Steel,,Russia,,,,,,Cherepovets,59.14492909,37.80429263,,,,,"Refinery, Smelter",Steel,"Coke batteries, Sintering machines, Blast furnace, ",1955,,,,,Severstal Website (Cherepovets Steel Mill),https://www.severstal.com/eng/about/businesses/chermk,,,,,,,,
PBS Coal,PBS Coals,United States,,,,,,Somerset,40.07341737,-78.80563765,,,,,Mine,"Coking coal, Thermal coal, Coking coal concentrate",,,,,,,PAO Severstal (2014) Annual Report 2013,https://www.severstal.com/files/4956/APA00121-Eng_Preview.pdf,,,,,,,,
Minntac,"Mt. Iron, Mount Iron, Mountain Iron",United States,,,,,,Mountain Iron,47.54326452,-92.60602294,,,,,Mine,"Iron, Iron ore pellets","Open pit, Pellet plant",,,,,,United States Steel Corp. (2020) 10-K Annual Report 2019 ; United States Steel Corp. Website (Minntac),https://www.ussteel.com/sites/default/files/annual_reports/As%20Filed%202019%20Form%2010-K%20woExhibits.pdf ; https://www.ussteel.com/locations/minntac ,,,,,,,,
Keetac,Keewatin,United States,,,,,,Keewatin,47.4121908,-93.0670219,,,,,Mine,"Iron, Iron ore pellets","Open pit, Pellet plant",,,,,,United States Steel Corp. (2020) 10-K Annual Report 2019 ; United States Steel Corp. Website (Keetac),https://www.ussteel.com/sites/default/files/annual_reports/As%20Filed%202019%20Form%2010-K%20woExhibits.pdf ; https://www.ussteel.com/locations/keetac ,,,,,,,,
Gary Works,Gary,United States,,,,,,Gary,41.60930199,-87.33352255,,,,,"Refinery, Smelter",Steel,Blast furnace,,,,,,United States Steel Corp. Website (Gary Works),https://www.ussteel.com/locations/gary-works,,,,,,,,
Great Lakes Works,,United States,,,,,,"Ecorse, River Rouge",42.25731104,-83.13666189,,,,,"Refinery, Smelter",Steel,Blast furnace,,,,,,United States Steel Corp. Website (Great Lakes Works),https://www.ussteel.com/locations/great-lakes-works,,,,,,,,
Edgar Thomson Plant,Mon Valley Works Edgar Thomson Plant,United States,,,,,,Braddock,40.39718032,-79.86370165,,,,,Smelter,Steel,Blast furnace,,,,,,United States Steel Corp. Website (Mon Valley Works Edgar Thomson Plant),https://www.ussteel.com/locations/mon-valley-works-edgar-thomson-plant,Part of US Steel's Mon Valley Works,,,,,,,
Clairton Plant,Mon Valley Works Clairton Plant,United States,,,,,,Clairton,40.29666964,-79.87298672,,,,,Refinery,Coke,Coke oven,,,,,,United States Steel Corp. Website (Mon Valley Works Clairton Plant),https://www.ussteel.com/locations/mon-valley-works-clairton-plant,Part of US Steel's Mon Valley Works,,,,,,,
Granite City Works,,United States,,,,,,Granite City,38.69915624,-90.1455547,,,,,"Refinery, Smelter",Steel,Blast furnace,,,,,,United States Steel Corp. Website (Granite City Works),https://www.ussteel.com/locations/granite-city-works,,,,,,,,
Fairfield Works,,United States,,,,,,Fairfield,33.48398064,-86.92376349,,,,,"Refinery, Smelter",Steel,,,,,,,United States Steel Corp. Website (Fairfield Works),https://www.ussteel.com/locations/fairfield-works,,,,,,,,
Lake Erie Works,,Canada,,,,,,Nanticoke,42.82158036,-80.08822303,,,,,"Refinery, Smelter",Steel,"Blast furnace, Coke battery",,,,,,United States Steel Corp. (2014) 10-K Annual Report 2013,https://www.ussteel.com/sites/default/files/annual_reports/2013%20Annual%20Report.pdf,,,,,,,,
Hamilton Works,"Stelco Hamilton, Stelco Hamilton Works",Canada,,,,,,Hamilton,43.27028992,-79.82240472,,,,,"Refinery, Smelter",Steel,Coke battery,,,,,,United States Steel Corp. (2014) 10-K Annual Report 2013,https://www.ussteel.com/sites/default/files/annual_reports/2013%20Annual%20Report.pdf,,,,,,,,
U. S. Steel Kosice ,USSK,Slovak Republic,,,,,,Kosice,48.624314,21.188045,,,,,"Refinery, Smelter",Steel,,,,,,,US Steel Kosice Website (Company profile),https://www.usske.sk/en/about-us/corporate-info/company-profile,,,,,,,,
Smederevo,"USSS,  U. S. Steel Serbia, USSB ",Serbia,,,,,,Smederevo,44.60451691,20.97050001,,,,,"Refinery, Smelter",Steel,Blast furnace,,,,,,United States Steel Corp. (2011) 10-K Annual Report 2010,https://www.ussteel.com/sites/default/files/annual_reports/2010%20Annual%20Report.pdf,,,,,,,,
Khumani,"Bruce 544, King 561, Mokaning 560, BKM Project, ",South Africa,,,,,,,-27.8673218,23.0101883,,,,,Mine,Iron,Open pit,2008,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019 ; African Rainbow Minerals Ltd. (2008) Annual Report 2007 ,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf ; https://arm.co.za/wp-content/uploads/2020/05/ar_2007.pdf ,,,,,,,,
Beeshoek,,South Africa,,,,,,,-28.28453693,23.00634093,,,,,Mine,Iron,Open pit,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf,,,,,,,,
Black Rock,Nchwaning and Gloria,South Africa,,,,,,,-27.13277746,22.83369898,,,,,Mine,Manganese,Underground,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf,,,,,,,,
Cato Ridge,Cato Ridge Works,South Africa,,,,,,,-29.71635052,30.61810683,,,,,Smelter,Ferromanganese,,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf,,,,,,,,
Sakura Ferroalloys,,Malaysia,,,,,,,3.544908203,113.3513074,,,,,Smelter,Ferromanganese,,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf,,,,,,,,
Two Rivers,,South Africa,,,,,,,-24.9352066,30.1045682,,,,,Mine,"Platinum, Palladium, Rhodium, Ruthenium, Iridium, Gold, Nickel, Copper, Chrome",Underground,2007,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019 ; African Rainbow Minerals Ltd. (2008) Annual Report 2008 ,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf ; https://arm.co.za/wp-content/uploads/2020/05/ARM_AR2008.pdf ,6E = Platinum + Palladium + Rhodium + Ruthenium + Iridium + Gold,,,,,,,
Modikwa,,South Africa,,,,,,,-24.64001374,30.12842528,,,,,Mine,"Platinum, Palladium, Rhodium, Ruthenium, Iridium, Gold, Nickel, Copper, Cobalt",Underground,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf,6E = Platinum + Palladium + Rhodium + Ruthenium + Iridium + Gold,,,,,,,
Goedgevonden,GGV,South Africa,,,,,,Ogies,-26.0907772,29.0757984,,,,,Mine,Thermal coal,Open pit,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019 ; African Rainbow Minerals Ltd. (2010) Annual Report 2009 ,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf ; https://arm.co.za/wp-content/uploads/2020/05/full.pdf ,,,,,,,,
Tweefontein,,South Africa,,,,,,Ogies,-26.03766224,29.16777665,,,,,Mine,Thermal coal,,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019 ; African Rainbow Minerals Ltd. (2010) Annual Report 2009 ,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf ; https://arm.co.za/wp-content/uploads/2020/05/full.pdf ,,,,,,,,
Impunzi,"iMpunzi, ATCOM/ATCOM East",South Africa,,,,,,Ogies,-26.10814765,29.23126369,,,,,Mine,Thermal coal,,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019 ; African Rainbow Minerals Ltd. (2010) Annual Report 2009 ,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf ; https://arm.co.za/wp-content/uploads/2020/05/full.pdf ,,,,,,,,
South Stock,,South Africa,,,,,,,,,,,,,Mine,Thermal coal,,,,,,,African Rainbow Minerals Ltd. (2019) Integrated Annual Report 2019,https://arm.co.za/wp-content/uploads/2020/05/ARM_IAR2019.pdf,,,,,,,,
Dwarsrivier,,South Africa,,,,,,,-24.9368851,30.1276113,,,,,Mine,Chrome,,,,,,,Assore Ltd. (2019) Integrated Annual Report 2019,https://www.assore.com/wp-content/uploads/2020/01/FY19-Annual-Report-Shortform.pdf,,,,,,,,
Darling Range Mines,"ML1SA, Darling Range Mines ML1SA",Australia,,,,,,"Waroona, Dwellingup",-32.91752841,116.0312958,,,712881,hectares,Mine,Bauxite,Open pit,1963,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019 ; Alcoa Corp. (n.d.) Fact Sheet Huntly Bauxite Mine ; Alcoa Corp. (n.d.) Fact Sheet Willowdale Bauxite Mine ,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf ; https://www.alcoa.com/australia/en/pdf/mining-huntly-fact-sheet.pdf ; https://www.alcoa.com/australia/en/pdf/mining-willowdale-fact-sheet.pdf ,,,,,,,,
Pocos de Caldas,,Brazil,,,,,,Pocos de Caldas,-21.84233034,-46.59095076,,,,,"Mine, Refinery","Bauxite, Alumina",Open pit,1965,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Juruti,,Brazil,,,,,,Juruti,-2.169972798,-56.0978627,,,,,Mine,Bauxite,Open pit,2009,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Al Ba’itha,,Kingdom of Saudi Arabia,Qassim,,,,,Qibah,27.6716284,43.9866716,,,,,Mine,Bauxite,Open pit,2014,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Coermotibo and Onverdacht,,Suriname,,,,"Para, Marowijne",,,,,,,,,Mine,Bauxite,Open pit,1922,2015,,,,Alcoa Inc. (2016) 10-K Annual Report 2015,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_AA_2015.pdf,,,,,,,,
Jamalco,,Jamaica,,,,,,,,,,,,,"Mine, Refinery","Bauxite, Alumina",Open pit,1963,,,,,Alcoa Inc. (2014) 10-K Annual Report 2013,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_AA_2013.pdf,,,,,,,,
Kwinana Alumina Refinery,,Australia,,,,,,Kwinana ,-32.18930554,115.7829381,,,,,Refinery,Alumina,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Pinjarra Alumina Refinery,,Australia,,,,,,Pinjarra ,-32.63251129,115.9745166,,,,,Refinery,Alumina,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Wagerup Alumina Refinery,,Australia,,,,,,Wagerup,-32.9048286,115.919221,,,,,Refinery,Alumina,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
San Ciprian Refinery,,Spain,,,,,,,43.69678185,-7.471175296,,,,,"Refinery, Smelter","Alumina, Aluminium",,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Ras Al Khair Refinery,,Kingdom of Saudi Arabia,,,,,,,27.5200238,49.17060201,,,,,"Refinery, Smelter","Alumina, Aluminium",,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Portland Aluminium Smelter,,Australia,,,,,,Portland,-38.38642668,141.6312753,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Baie Comeau Aluminium Smelter,,Canada,,,,,,Baie Comeau,49.25057622,-68.14931154,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Deschambault Aluminium Smelter,,Canada,,,,,,Deschambault,46.69278728,-71.94498395,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Fjardaal Aluminium Smelter,Fjarðaál Aluminium Smelter,Iceland,,,,,,,65.03354769,-14.09680698,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Lista Aluminium Smelter,,Norway,,,,,,,58.07381668,6.786221322,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Mosjoen Aluminium Smelter,Mosjøen Aluminium Smelter,Norway,,,,,,Mosjoen,65.84921539,13.19347167,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Massena West Aluminium Smelter,,United States,,,,,,,44.96239979,-74.89253599,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Wenatchee Aluminium Smelter,,United States,,,,,,Wenatchee ,47.35559866,-120.1228563,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Intalco Aluminium Smelter,,United States,,,,,,Ferndale,48.84846862,-122.7025093,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Warrick Aluminium Smelter,,United States,,,,,,Evansville,37.91920475,-87.33053176,,,,,Smelter,Aluminium,,,,,,,Alcoa Corp. (2020) 10-K Annual Report 2019,https://investors.alcoa.com/~/media/Files/A/Alcoa-IR/documents/annual-reports-and-proxy-information/alcoa-annual-report-2019.pdf,,,,,,,,
Pingguo,"Guangxi Plant, Pingguo Plant, Guangxi branch",China,Guangxi Zhuang Autonomous Region,,,Baise,,Pingguo,,,,,,,"Mine, Refinery, Smelter","Bauxite, Alumina, Aluminium",Open pit,1994,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019 ; Aluminium Corporation of China Ltd. (2008) 20-F Annual Report 2007 ,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006 ; https://www.sec.gov/Archives/edgar/data/1161611/000116161108000038/d20f.htm ,Primary aluminium Smelter closed in 2014,,,,,,,
Guizhou,,China,Guizhou ,,,"Wudang, Qingzhen, Xiuwen",,,,,,,,,"Mine, Refinery, Smelter","Bauxite, Alumina, Aluminium","Open pit, Underground",1978,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Zunyi ,"Zunyi Alumina, Zunyi Aluminum",China,Guizhou ,,,Zunyi ,,,,,,,,,"Mine, Refinery, Smelter","Bauxite, Alumina, Aluminium","Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Xiaoyi ,,China,Shanxi ,,,Lüliang ,,Xiaoyi ,,,,,,,Mine,Bauxite,Open pit,,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019 ; Aluminium Corporation of China Ltd. (2008) 20-F Annual Report 2007 ,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006 ; https://www.sec.gov/Archives/edgar/data/1161611/000116161108000038/d20f.htm ,,,,,,,,
Chalco Shanxi Other Mines,,China,Shanxi ,,,,,,,,,,,,Region,Bauxite,,,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019 ; Aluminium Corporation of China Ltd. (2008) 20-F Annual Report 2007 ,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006 ; https://www.sec.gov/Archives/edgar/data/1161611/000116161108000038/d20f.htm ,,,,,,,,
Mianchi ,,China,Henan ,,,Sanmenxia,,Mianchi ,,,,,,,Mine,Bauxite,"Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019 ; Aluminium Corporation of China Ltd. (2008) 20-F Annual Report 2007 ,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006 ; https://www.sec.gov/Archives/edgar/data/1161611/000116161108000038/d20f.htm ,,,,,,,,
Luoyang ,,China,Henan ,,,Luoyang,,,,,,,,,Mine,Bauxite,"Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019 ; Aluminium Corporation of China Ltd. (2008) 20-F Annual Report 2007 ,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006 ; https://www.sec.gov/Archives/edgar/data/1161611/000116161108000038/d20f.htm ,,,,,,,,
Xiaoguan ,,China,Henan ,,,Zhengzhou,,,,,,,,,Mine,Bauxite,"Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019 ; Aluminium Corporation of China Ltd. (2008) 20-F Annual Report 2007 ,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006 ; https://www.sec.gov/Archives/edgar/data/1161611/000116161108000038/d20f.htm ,,,,,,,,
Sanmenxia ,,China,Henan ,,,Sanmenxia ,,,,,,,,,Mine,Bauxite,Underground,,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Xuchang ,Yuzhong ,China,Henan ,,,Zhengzhou,,,,,,,,,Mine,Bauxite,"Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Jiaozuo ,,China,Henan ,,,Jiaozuo,,,,,,,,,Mine,Bauxite,"Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Pingdingshan ,,China,Henan ,,,Pingdingshan ,,,,,,,,,Mine,Bauxite,"Open pit, Underground",,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Yangquan ,,China,Shanxi,,,Yangquan ,,,,,,,,,Mine,Bauxite,Open pit,,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Nanchuan ,,China,Sichuan,,,Chongqing,,,,,,,,,Mine,Bauxite,Underground,,,inactive,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Huaxing ,Shanxi Huaxing,China,Shanxi ,,,Xing County,,Watangzhen,,,,,,,"Mine, Refinery","Bauxite, Alumina",Underground,,,active,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
PT Alusentosa,,Indonesia,,,,,,,,,,,,,Mine,Bauxite,Open pit,,,inactive,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,"Owned and operated by PT Nusapati Prima, a 96.28% subsidiary of Chalco	",,,,,,,
PT Kalmin,,Indonesia,,,,,,,,,,,,,Mine,Bauxite,Open pit,,,inactive,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,"Owned and operated by PT Nusapati Prima, a 96.28% subsidiary of Chalco        ",,,,,,,
PT Visitama,,Indonesia,,,,,,,,,,,,,Mine,Bauxite,Open pit,,,inactive,2019,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,"Owned and operated by PT Nusapati Prima, a 96.28% subsidiary of Chalco        ",,,,,,,
Boffa,,Guinea,,,,,,Boffa,10.1808254,-14.0391615,,,,,Mine,Bauxite,Open pit,,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Chalco Henan Branch,"Chalco Mining, Chalco Mining Branch, Henan plant",China,Henan ,,,Luoyang city,,,,,,,,,"Refinery, Smelter","Alumina, Aluminium",,1966,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Chalco Shandong Branch,,China,Shandong,,,,,,,,,,,,"Refinery, Smelter","Alumina, Aluminium",,1954,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Chalco Qinghai Branch,Qinghai plant,China,Qinghai ,,,,,,,,,,,,Smelter,Aluminium,,1987,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Guizhou Huaren Aluminium Smelter,,China,Guizhou ,,,Qingzhen,,,,,,,,,Smelter,Aluminium,,2017,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Shanxi Zhongrun Aluminium ,,China,Shanxi ,,,Lvliang,,,,,,,,,Smelter,Aluminium,Electrolytic cells,2015,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Zhongzhou Aluminum,"Zhongzhou branch, Chalco Zhongzhou",China,Henan ,,,,,,,,,,,,Refinery,Alumina,,1993,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Chalco Chongqing Branch,,China,Sichuan,,,Chongqing,,,,,,,,,Refinery,Alumina,,2010,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Guizhou Huajin Alumina,,China,Guizhou ,,,Qingzhen,,,,,,,,,Refinery,Alumina,,2014,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Lanzhou Aluminum ,Lanzhou Branch,China,Gansu ,,,Lanzhou ,,,,,,,,,Smelter,Aluminium,,,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Shanxi New Material,"Shanxi Huaze, Shanxi Branch, Shanxi plant ",China,Shanxi ,,,,,,,,,,,,"Refinery, Smelter","Alumina, Aluminium",,2003,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Shanxi Huasheng ,,China,Shanxi ,,,,,,,,,,,,Smelter,Aluminium,,2006,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Fushun Aluminum,,China,Liaoning ,,,,,,,,,,,,"Smelter, Refinery","Aluminium, Anode carbon",,,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
Shandong Huayu,,China,Shandong,,,,,,,,,,,,Smelter,Aluminium,,,,,,,Aluminium Corporation of China Ltd. (2020) 20-F Annual Report 2019,https://www.sec.gov/Archives/edgar/data/1161611/000138713120004040/ach-20f_123119.htm#acha006,,,,,,,,
