mine_fac,mine_other_names,country,state,region,province,district,sector,location_municipality,latitude,longitude,surface_area,unit_surface_area,claim_concession_area,unit_concession_area,mine_or_processing,commodities_products,mining_facility_types,production_start,production_end,activity_status,year_activity_status,certification_scheme,source,source_url,comment,,,,,,,
San Luis Potosi Complex,,Mexico,San Luis Potosi ,,,,,San Luis Potosi ,22.17306694,-101.0335572,,,,,"Smelter, Refinery","Zinc, Copper, Silver, Gold, Cadmium, Sulfuric acid",,,,,,,Southern Copper Corporation (n.d.) Integrated Operations SAN LUIS POTOSI - Processing Facilities,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
ILO,,Peru,,,,,,Ilo,-17.49743862,-71.36012618,,,,,"Refinery, Smelter","Blister anode, Copper anode, Copper cathode, Silver",,,,,,,Southern Copper Corporation (n.d.) Integrated Operations ILO - Processing Facilities,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
Nueva Rosita Complex ,,Mexico,Coahuila,,,,,Nueva Rosita,27.92150063,-101.2249755,,,,,Mine,"Coal, Metallurgical coke, coke, tar, ammonium sulfate, light crude oil","Open pit, underground, coke facility, coal washing plant",1924,,,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,,,,,,,,
Loulo - Gounkoto,,Mali,,,,,,,,,,,,,Mine,Gold,"Open pit, Underground",2005,,,,,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf,,,,,,,,
Kibali,,Democratic Republic of Congo,,,,,,,3.11375,29.593222,,,,,Mine,Gold,"Open pit, Underground",,,,,,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf,,,,,,,,
Pueblo Viejo,,Dominican Republic,,,,,,,18.94025,-70.177972,,,,,Mine,Gold,Open Pit,2013,,,,,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf,,,,,,,,
Goldrush - Fourmile,,United States,Nevada,,,,,,40.13670001,-116.5307603,,,,,Mine,Gold,,,,construction,2019,,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf,,,,,,,,
Cortez,,United States,Nevada,,,Lander,,,,,,,,,Mine,Gold,"Open pit, Underground, Oxide mill, CIL Circuit, Heap Leach",,,,,,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf ; https://barrick.q4cdn.com/788666289/files/presentation/2019/07/Nevada-Gold-Mines-Launched.pdf ,,,,,,,,
Goldstrike,,United States,Nevada,,,"Eureka, Elko",,,,,,,,,"Mine, Refinery",Gold,"Open pit, Underground, Roaster, Autoclaves",,,,,,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019 ; ",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf ; https://barrick.q4cdn.com/788666289/files/presentation/2019/07/Nevada-Gold-Mines-Launched.pdf,,,,,,,,
Lumwana,,Zambia,,,,,,,-12.238472,25.822028,,,,,Mine,Copper,Open pit,,,,,,Barrick Gold Corporation (2019) Operations Lumwana,https://www.barrick.com/English/operations/lumwana/,,,,,,,,
Tongon,,Côte d'Ivoire,,,,,,,9.937917,-5.705472,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2019) Operations Tongon,https://www.barrick.com/English/operations/tongon/default.aspx,,,,,,,,
Golden Sunlight,,United States,Montana,,,,,,45.903861,-112.010167,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2019) Operations Golden Sunlight,https://www.barrick.com/English/operations/golden-sunlight/default.aspx,,,,,,,,
Hemlo,Williams,Canada,Ontario,,,,,,48.695889,-85.923944,,,,,Mine,Gold,"Open pit, Underground",,,,,,Barrick Gold Corporation (2019) Operations Hemlo,https://www.barrick.com/English/operations/hemlo/default.aspx,,,,,,,,
Lagunas Norte,,Peru,,La Libertad,Santiago de Chuco,Quiruvilca,,,-7.94975,-78.243583,,,,,Mine,"Gold, Silver","Open pit, Heap leach",,,,,,Barrick Gold Corporation (2019) Operations Lagunas Norte,https://www.barrick.com/English/operations/lagunas-norte/default.aspx,,,,,,,,
Porgera,,Papua New Guinea,,,Enga Province,,,,-5.463639,143.09275,,,,,Mine,Gold,"Open pit, Underground",,,,,,Barrick Gold Corporation (2019) Operations Porgera,https://www.barrick.com/English/operations/porgera/default.aspx,,,,,,,,
Veladero,,Argentina,,,San Juan Province,,,,-29.378722,-69.951861,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2019) Operations Veladero,https://www.barrick.com/English/operations/veladero/default.aspx,,,,,,,,
Jabal Sayid,,Kingdom of Saudi Arabia,,,,,,,23.851028,40.94225,,,,,Mine,Copper,,2016,,,,,Barrick Gold Corporation (2019) Operations Jabal Sayid,https://www.barrick.com/English/operations/jabal-sayid/default.aspx,,,,,,,,
Norte Abierto,"Cerro Casale, Caspiche ",Chile,Atacama,,,Tierra Amarilla county,,,-27.76862633,-69.32007251,,,,,Mine,Gold,,,,Project,2019,,Barrick Gold Corporation (2019) Annual Report 2018,https://barrick.q4cdn.com/788666289/files/annual-report/Barrick-Annual-Report-2018.pdf,,,,,,,,
Kabanga,,Tanzania,,,,,,,-2.89019185,30.54125854,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2019) Annual Report 2018,https://barrick.q4cdn.com/788666289/files/annual-report/Barrick-Annual-Report-2018.pdf,,,,,,,,
Cowal,,Australia,New South Australia,,,,,,-33.64060852,147.3995748,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2015) Annual Report 2014,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2014/Barrick-Annual-Report-2014.pdf,,,,,,,,
Kanowna Belle,Kanowa,Australia,Western Australia,,,,,,-30.60492497,121.5760837,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2014) Annual Report 2013,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2013/Barrick-Annual-Report-2013.pdf,,,,,,,,
Marigold,,United States,Nevada,,,Humboldt County,,Valmy,40.7495727,-117.1491012,,,,,Mine,Gold,"Open pit, Heap leach plant, electro-winning plant",1989,,,,,"Barrick Gold Corporation (2013) Annual Report 2012 ; SSR Mining Inc. (2020) Annual Information Form for the financial Year ended December 31, 2019 ",https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2012/Barrick-Annual-Report-2012.pdf ; http://s22.q4cdn.com/546540291/files/doc_financials/2019/ar/SSR-Mining-2019-Annual-Information-Form-(Final).pdf ,,,,,,,,
Granny Smith,,Australia,Western Australia,,,,,,-28.81088065,122.4201827,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2013) Annual Report 2013,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2012/Barrick-Annual-Report-2012.pdf,,,,,,,,
Lawlers,,Australia,Western Australia,,,,,,-28.07916202,120.5108035,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2013) Annual Report 2014,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2012/Barrick-Annual-Report-2012.pdf,,,,,,,,
Ruby Hill,,United States,,,,,,,39.4910398,-115.993114,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Bald Mountain,,United States,,,,,,,39.9428052,-115.6136584,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Round Mountain,,United States,,,,,,,38.7083535,-117.1034089,,,,,Mine,Gold,Heap leaching,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Eskay Creek,,Canada,,,,,,,56.65393353,-130.4292813,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Donlin Creek,,United States,Alaska,,,,,,62.03954899,-158.2125707,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Darlot,,Australia,Western Australia,,,,,,-27.8963189,121.2726657,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Henty,,Australia,Tasmania,,,,,,-41.8747177,145.5511474,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Osbourne,,Australia,Queensland,,,,,,-22.0947215,140.5834985,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Reko Diq,,Pakistan,,,,,,,28.971916,62.4330282,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf,,,,,,,,
Plutonic,,Australia,Western Australia,,,,,,-25.3157095,119.4507354,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2007) Annual Report 2006,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2006/Barrick-Annual-Report-2006.pdf,,,,,,,,
Pierina,,Peru,,,,,,,-9.4593198,-77.5877318,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2006) Annual Report 2005,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2005/Barrick-Annual-Report-2005.pdf,,,,,,,,
Holt-McDermott,,Canada,Ontaria,Kirkland Lake,,,,,48.5131301,-79.7404022,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2004) Annual Report 2003,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2003/Barrick-Annual-Report-2003.pdf,,,,,,,,
